1;a golden empire;A Golden Empire;Enact a Golden Age as an Empire.;;[];['Is in a golden era', ' Is an empire'];The golden era can be started on the first day of the next month after completing 3 objectives. Easily done as  Ming. You begin as an empire, already have a 30-development capital, and have more than five centres of trade at the beginning, you just need to release five vassals and you can begin your golden era.;1.20;Very Easy;https://eu4.paradoxwikis.com/images/7/73/A_Golden_Empire.png;achievement_golden_empire;1;1542541866
2;aaa credit;AAA Credit;As a Great Power, take on over 1,000 ducats of another nation's debt.;;[];['Is a Great power', " Has taken on 1000 ducats of another country's debt."];Must be done in a single action.;1.18;Very Easy;https://eu4.paradoxwikis.com/images/d/d0/AAA_Credit.jpg;achievement_aaa_credit;1;1497286245
3;all that's thine shall be mine;All That's Thine Shall Be Mine;As a Greedy ruler, take all of a nation's ducats in a peace deal.;;[];["Took all of an enemy nation's ducats in a peace deal, during the reign of a  Greedy Ruler."];Can be achieved without being the warleader by having a Greedy ruler and the warleader taking all of a nation's  ducats in a peace deal. The Rulers of  Amago,  Cleves,  Cologne,  Hatakeyama,  Isshiki,  Khandesh,  Lüneburg and  Otomo are greedy at the start of the game.;1.18;Very Easy;https://eu4.paradoxwikis.com/images/8/86/All_That%27s_Thine_Shall_Be_Mine.jpg;achievement_all_that_is_thine_shall_be_mine;1;1497301076
4;cold war;Cold War;Win a war without fighting a single battle.;;[];['Won one war without fighting a single battle.'];Start as a neighbor of an OPM. Go to a total war with them and sign peace (break their alliances if needed and take all their money). Soon after declare another war (breaking the truce) and capture their undefended capital.;1.1;Very Easy;https://eu4.paradoxwikis.com/images/6/6a/Cold_War.jpg;achievement_cold_war;1;1419635958
5;combined arms;Combined Arms;Have both an Admiral and a General with a trait.;;['No restriction of the start date'];['Have an Admiral with a trait', ' Have a General with a trait'];Conquistadors and explorers do not count.. Leaders gain traits at the end of battles with a chance based on the military tradition gain from that battle, which is based (in part) on the number of losses inflicted on the enemy. The  Ottomans and  France start with a general with a trait in 1444.;1.18;Very Easy;https://eu4.paradoxwikis.com/images/c/cb/Combined_Arms.jpg;achievement_combined_arms;1;1536830268
6;cowardly tactics;Cowardly Tactics;Have a fort and a supply depot in a mountainous province producing livestock.;;[];['Own and control a livestock-producing mountain province with a fort building and a supply depot'];Possible to achieve in Custom Setup and Random Setup nation modes. Very easy to do with  Mamluks, who start with a fort on a livestock province. Easily done as  Three Leagues, who has a livestock producing mountain province with a fort at the start.;1.23;Very Easy;https://eu4.paradoxwikis.com/images/7/74/Cowardly_Tactics.png;achievement_cowardly_tactics;1;1544441627
7;czechs and balances;Czechs and Balances;Starting as Bohemia, grant at least two privileges to each estate while having at least 50% Crown Land.;;['Playing as  Bohemia', ' Not using a random New World'];['at least two privileges are currently granted to the  clergy', 'at least two privileges are currently granted to the  burghers', 'at least two privileges are currently granted to the  nobility', 'Land owned by the crown is at least 50%'];This can be done easily by starting as Bohemia and then releasing Moravia as a vassal and selecting the option to play as the released vassal. Afterwards, you'll have more than 80% Crown Land and now you can give 2 privileges to each estate. Several of the privileges do not affect the size of the Crown Land which makes it easy to stay above 50%.. This achievement can be combined with the Great Moravia achievement.;1.30;Very Easy;https://eu4.paradoxwikis.com/images/b/b5/Czechs_and_Balances.png;achievement_czechs_and_balances;0;0
8;defender of the faith;Defender of the Faith;Become Defender of the Faith.;;['Is not defender of the faith'];['Is defender of the faith'];Can be done immediately as  Ottomans, just take out a few loans and claim the title.;1.1;Very Easy;https://eu4.paradoxwikis.com/images/f/fb/Defender_of_the_Faith.jpg;achievement_defender_of_the_faith;1;1428182129
9;for the glory;For the Glory;Diplo-annex a vassal.;;[];['Have diplomatically annexed a vassal.'];Start as  Ayutthaya, then annex either of their vassals after 10 years. Also easy with  Denmark which can annex its vassal  Holstein.;1.1;Very Easy;https://eu4.paradoxwikis.com/images/a/a7/For_the_Glory.jpg;achievement_for_the_glory;1;1417881177
10;foul mouthed;Foul Mouthed;Scornfully insult 10 nations that border you.;;['No more than 1 custom nation exists in the world', ' Used no more than 201 nation designer points'];['At least 10 neighbouring countries have the “Scornfully Insulted” opinion modifier towards you'];The 10 countries must all have the opinion modifier at the same time.  Lithuania borders 11 nations at the start of game. You can ally  Poland to complete "The Polish Succession" mission which gives claims on  Livonian Order. Declare war as soon as the truce expires and demand they concede defeat and end rivalries in the peace deal. This should easily get you the required 50 prestige.;1.26;Very Easy;https://eu4.paradoxwikis.com/images/9/9e/Foul_Mouthed.png;achievement_foul_mouthed;1;1580848380
11;full house;Full House;Have 3 Vassals and 2 Marches at the same time.;;[];['Have 3 vassals', ' Have 2 marches'];Easily done as  England,  Muscovy,  Lithuania or  Timurids at the start of the campaign.;1.12;Very Easy;https://eu4.paradoxwikis.com/images/d/d7/Full_House.jpg;achievement_full_house;1;1443279623
12;gentle persuasion;Gentle Persuasion;Have a Siege Specialist general win a siege in a province with a fort.;;['No restriction of the start date'];['Won a siege against a fort using a General with the Siege Specialist trait.'];Easily done as  France as they begin with a siege specialist general.;1.18;Very Easy;https://eu4.paradoxwikis.com/images/d/dc/Gentle_Persuasion.jpg;achievement_gentle_persuasion;1;1494798575
13;isn't this the way to india?;Isn't this the way to India?;Discover the Americas as Castile or Spain.;;['Playing as  Castile', ' Not using a random New World.', ' Has not discovered both North America and South America'];['Has discovered North America and South America'];Remove the terra incognita of 1 province in the continent of South America and 1 province in the continent of North America.;1.1;Very Easy;https://eu4.paradoxwikis.com/images/4/4d/Isn%27t_this_the_way_to_India%3F.jpg;achievement_isnt_this_the_way_to_india;1;1424642221
14;it's all about the money;It's all about the money;Accumulate 3000 gold.;;[];['Have 3,000 ducats in the treasury'];Easily done as a big nation by taking loans until reaching the target.;1.1;Very Easy;https://eu4.paradoxwikis.com/images/3/3f/It%27s_all_about_the_money.jpg;achievement_its_all_about_the_money;1;1418060588
15;liberty or death;Liberty or Death;Start as United States in 1776 bookmark and own all your cores while being at peace.;;['Start on 4 July 1776', ' Playing as  United States', ' Not using a random New World.'];['Not at war', ' Own all core provinces'];Can be done easily by signing a peace treaty and accepting any demands. Then revoke all the cores of the provinces given away. The last step requires the Art of War DLC.;1.3;Very Easy;https://eu4.paradoxwikis.com/images/7/76/Liberty_or_Death.jpg;achievement_liberty_or_death;0;0
16;krabater;Krabater;Form the nation of Croatia and station a unit of cavalry in Stockholm.;;[];['Not playing as a released vassal', ' Is  Croatia', ' Station a unit of cavalry in Stockholm.'];Since the 1.30 Austria update, Croatia exists from the start in 1444. All you have to do to get this achievement is to ask for military access with all the essential nations on the way to Stockholm. Don't bother your diplomatic relation slots. Then move your one cavalry unit there. Done in 2 min.;1.9;Very Easy;https://eu4.paradoxwikis.com/images/a/ae/Krabater.png;achievement_krabater;0;0
17;marshy march;Marshy March;Have a march with at least two marsh provinces.;;[];['Have a march with at least two marsh provinces'];Easily done as  Mushasha, simply release  Basra.;1.8;Very Easy;https://eu4.paradoxwikis.com/images/5/58/Marshy_March.jpg;achievement_marshy_march;1;1443305798
